TITLE,RUNTIME,YEAR,MONTH,BUDGET,GENRE,PROD_COMPANY,IMDB_GOOD,IMDB_BAD
The Hobbit: The Battle of the Five Armies,144,2014,DECEMBER,250000000,Action,WingNut Films,YES,NO
Transformers: Age of Extinction,165,2014,JUNE,210000000,Science Fiction,Paramount Pictures,NO,NO
The Amazing Spider-Man 2,142,2014,APRIL,200000000,Action,Columbia Pictures,NO,NO
X-Men: Days of Future Past,131,2014,MAY,250000000,Action,Twentieth Century Fox Film Corporation,YES,NO
Edge of Tomorrow,113,2014,MAY,178000000,Action,Village Roadshow Pictures,YES,NO
Maleficent,97,2014,MAY,180000000,Fantasy,Walt Disney Pictures,YES,NO
Dawn of the Planet of the Apes,130,2014,JUNE,170000000,Science Fiction,Ingenious Media,YES,NO
Captain America: The Winter Soldier,136,2014,MARCH,170000000,Action,Marvel Studios,YES,NO
Big Hero 6,102,2014,OCTOBER,165000000,Adventure,Walt Disney Pictures,YES,NO
Guardians of the Galaxy,121,2014,JULY,170000000,Action,Marvel Studios,YES,NO
Interstellar,169,2014,NOVEMBER,165000000,Adventure,Paramount Pictures,YES,NO
Mr. Peabody & Sherman,92,2014,FEBRUARY,145000000,Animation,Pacific Data Images (PDI),NO,NO
Exodus: Gods and Kings,150,2014,DECEMBER,140000000,Adventure,Scott Free Productions,NO,NO
How to Train Your Dragon 2,102,2014,JUNE,145000000,Fantasy,DreamWorks Animation,YES,NO
Penguins of Madagascar,92,2014,NOVEMBER,132000000,Family,DreamWorks Animation,NO,NO
Noah,139,2014,MARCH,125000000,Drama,Paramount Pictures,NO,NO
Night at the Museum: Secret of the Tomb,97,2014,DECEMBER,127000000,Adventure,Twentieth Century Fox Film Corporation,NO,NO
The Hunger Games: Mockingjay - Part 1,123,2014,NOVEMBER,125000000,Science Fiction,Lionsgate,NO,NO
Rio 2,102,2014,MARCH,103000000,Animation,Blue Sky Studios,NO,NO
RoboCop,102,2014,JANUARY,120000000,Action,Columbia Pictures,NO,NO
Teenage Mutant Ninja Turtles,101,2014,OCTOBER,125000000,Science Fiction,Paramount Pictures,NO,NO
300: Rise of an Empire,102,2014,MARCH,110000000,Action,Legendary Pictures,NO,NO
Hercules,99,2014,JULY,100000000,Action,Paramount Pictures,NO,NO
The Expendables 3,127,2014,OCTOBER,90000000,Action,Davis-Films,NO,NO
Seventh Son,102,2014,DECEMBER,95000000,Adventure,Legendary Pictures,NO,NO
Transcendence,119,2014,APRIL,100000000,Thriller,Alcon Entertainment,NO,NO
Divergent,139,2014,MARCH,85000000,Adventure,Summit Entertainment,NO,NO
Fury,135,2014,OCTOBER,68000000,War,Columbia Pictures,YES,NO
Pompeii,105,2014,FEBRUARY,130000000,Action,Impact Pictures,NO,NO
The Monuments Men,118,2014,JANUARY,70000000,War,Columbia Pictures,NO,NO
Dracula Untold,92,2014,OCTOBER,70000000,Horror,Universal Pictures,NO,NO
The Legend of Hercules,99,2014,JANUARY,70000000,Action,Millennium Films,NO,YES
Need for Speed,130,2014,MARCH,66000000,Action,DreamWorks SKG,NO,NO
Unbroken,137,2014,DECEMBER,65000000,Drama,Legendary Pictures,YES,NO
Annie,119,2014,DECEMBER,65000000,Comedy,Columbia Pictures,NO,NO
"I, Frankenstein",92,2014,JANUARY,65000000,Horror,Lakeshore Entertainment,NO,YES
Sin City: A Dame to Kill For,102,2014,OCTOBER,65000000,Crime,Miramax Films,NO,NO
Gone Girl,145,2014,OCTOBER,61000000,Mystery,Twentieth Century Fox Film Corporation,YES,NO
Jack Ryan: Shadow Recruit,105,2014,JANUARY,60000000,Action,Paramount Pictures,NO,NO
The Boxtrolls,97,2014,SEPTEMBER,60000000,Animation,Laika Entertainment,NO,NO
The Lego Movie,100,2014,FEBRUARY,60000000,Adventure,Village Roadshow Pictures,YES,NO
Winter's Tale,118,2014,FEBRUARY,60000000,Drama,Village Roadshow Pictures,NO,NO
American Sniper,133,2014,DECEMBER,58800000,War,Village Roadshow Pictures,YES,NO
The Equalizer,132,2014,SEPTEMBER,55000000,Thriller,Columbia Pictures,YES,NO
Paddington,95,2014,NOVEMBER,55000000,Family,The Weinstein Company,YES,NO
Muppets Most Wanted,112,2014,MARCH,50000000,Comedy,Buena Vista,NO,NO
22 Jump Street,112,2014,JUNE,50000000,Crime,Columbia Pictures,YES,NO
Into the Woods,125,2014,DECEMBER,50000000,Fantasy,Walt Disney Pictures,NO,NO
Non-Stop,106,2014,JANUARY,50000000,Action,StudioCanal,NO,NO
The Book of Life,95,2014,OCTOBER,50000000,Romance,Twentieth Century Fox Film Corporation,YES,NO
Into the Storm,89,2014,OCTOBER,50000000,Action,New Line Cinema,NO,NO
The Judge,141,2014,OCTOBER,50000000,Drama,Village Roadshow Pictures,YES,NO
Taken 3,109,2014,DECEMBER,48000000,Thriller,Twentieth Century Fox Film Corporation,NO,NO
Blended,117,2014,MAY,40000000,Comedy,Happy Madison Productions,NO,NO
The Interview,112,2014,DECEMBER,44000000,Action,Columbia Pictures,NO,NO
Lucy,89,2014,JULY,40000000,Action,Universal Pictures,NO,NO
Dumb and Dumber To,110,2014,NOVEMBER,40000000,Comedy,New Line Cinema,NO,NO
The Other Woman,109,2014,APRIL,40000000,Comedy,Twentieth Century Fox Film Corporation,NO,NO
Horrible Bosses 2,108,2014,NOVEMBER,42000000,Comedy,New Line Cinema,NO,NO
Jersey Boys,134,2014,JUNE,40000000,Music,Warner Bros.,NO,NO
Sex Tape,97,2014,JULY,40000000,Comedy,Escape Artists,NO,NO
Dolphin Tale 2,107,2014,SEPTEMBER,36000000,Family,Alcon Entertainment,NO,NO
Sabotage,110,2014,MARCH,35000000,Action,Open Road Films,NO,NO
The Maze Runner,113,2014,SEPTEMBER,34000000,Action,Ingenious Media,YES,NO
The Grand Budapest Hotel,99,2014,FEBRUARY,30000000,Comedy,Fox Searchlight Pictures,YES,NO
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81,2014,OCTOBER,28000000,Family,Walt Disney Pictures,NO,NO
3 Days to Kill,113,2014,FEBRUARY,28000000,Action,Wonderland Sound and Vision,NO,NO
Brick Mansions,90,2014,APRIL,28000000,Action,Canal+,NO,NO
A Walk Among the Tombstones,113,2014,SEPTEMBER,28000000,Crime,Double Feature Films,NO,NO
The Best of Me,117,2014,OCTOBER,26000000,Drama,Relativity Media,YES,NO
Ride Along,99,2014,JANUARY,25000000,Action,Universal Pictures,NO,NO
Million Dollar Arm,124,2014,MAY,25000000,Drama,Walt Disney Pictures,NO,NO
The Giver,94,2014,OCTOBER,25000000,Drama,The Weinstein Company,NO,NO
The Gambler,111,2014,DECEMBER,25000000,Thriller,Paramount Pictures,NO,NO
Draft Day,109,2014,APRIL,25000000,Drama,Summit Entertainment,NO,NO
Think Like a Man Too,105,2014,JUNE,24000000,Comedy,Will Packer Productions,NO,NO
The Water Diviner,112,2014,DECEMBER,22500000,War,Hopscotch Features,NO,NO
The Hundred-Foot Journey,122,2014,OCTOBER,22000000,Drama,Amblin Entertainment,YES,NO
Son of God,138,2014,FEBRUARY,22000000,Drama,Hearst Entertainment Productions,NO,NO
Before I Go to Sleep,92,2014,SEPTEMBER,22000000,Mystery,StudioCanal,NO,NO
Tammy,97,2014,JULY,20000000,Comedy,New Line Cinema,NO,YES
Selma,127,2014,DECEMBER,20000000,History,Plan B Entertainment,YES,NO
This Is Where I Leave You,103,2014,SEPTEMBER,19800000,Drama,Spring Creek Productions,NO,NO
Endless Love,103,2014,FEBRUARY,20000000,Drama,Universal Pictures,NO,NO
Inherent Vice,148,2014,DECEMBER,20000000,Comedy,Ghoulardi Film Company,NO,NO
A Most Violent Year,125,2014,DECEMBER,20000000,Crime,Participant Media,NO,NO
Neighbors,96,2014,MAY,18000000,Comedy,Universal Pictures,NO,NO
Left Behind,110,2014,OCTOBER,16000000,Thriller,Stoney Lake Entertainment,NO,YES
Birdman,119,2014,OCTOBER,18000000,Drama,Worldview Entertainment,YES,NO
And So It Goes,94,2014,JULY,18000000,Comedy,Castle Rock Entertainment,NO,NO
The Prince,93,2014,OCTOBER,18000000,Thriller,Grindstone Entertainment Group,NO,YES
Let's Be Cops,104,2014,OCTOBER,17000000,Comedy,Twentieth Century Fox Film Corporation,NO,NO
Escobar: Paradise Lost,120,2014,OCTOBER,17000000,Thriller,Nexus Factory,NO,NO
The Homesman,122,2014,MAY,16000000,Western,The Javelina Film Company,NO,NO
The Imitation Game,113,2014,NOVEMBER,14000000,History,Black Bear Pictures,YES,NO
The Theory of Everything,123,2014,NOVEMBER,15000000,Drama,Working Title Films,YES,NO
Wild,115,2014,DECEMBER,15000000,Drama,Fox Searchlight Pictures,YES,NO
When the Game Stands Tall,115,2014,OCTOBER,15000000,Drama,Mandalay Pictures,NO,NO
The November Man,108,2014,OCTOBER,15000000,Crime,Irish Dreamtime,NO,NO
A Most Wanted Man,121,2014,JULY,15000000,Thriller,Senator Film Produktion,NO,NO
Under the Skin,108,2014,MARCH,13300000,Thriller,Scottish Screen,NO,NO
St. Vincent,102,2014,OCTOBER,13000000,Comedy,The Weinstein Company,YES,NO
About Last Night,100,2014,FEBRUARY,12500000,Comedy,Screen Gems,NO,NO
No Good Deed,83,2014,SEPTEMBER,13200000,Crime,Will Packer Productions,NO,NO
Earth to Echo,89,2014,JUNE,13000000,Family,Walt Disney Studios Motion Pictures,NO,NO
The Fault in Our Stars,125,2014,MAY,12000000,Romance,Fox 2000 Pictures,YES,NO
Heaven is for Real,99,2014,APRIL,12000000,Drama,TriStar Pictures,NO,NO
If I Stay,106,2014,OCTOBER,11000000,Drama,New Line Cinema,YES,NO
Big Eyes,105,2014,DECEMBER,10000000,Drama,The Weinstein Company,NO,NO
Black or White,121,2014,SEPTEMBER,9000000,Drama,Treehouse Pictures,NO,NO
The Purge: Anarchy,104,2014,JULY,9000000,Horror,Universal Pictures,NO,NO
Barbecue,98,2014,APRIL,6000000,Comedy,TF1 Films Production,NO,NO
Nightcrawler,117,2014,OCTOBER,8500000,Crime,Bold Films,YES,NO
That Awkward Moment,94,2014,JANUARY,8000000,Comedy,Treehouse Pictures,NO,NO
Aloft,112,2014,FEBRUARY,8000000,Drama,Arcadia Motion Pictures,NO,NO
Devil's Due,89,2014,JANUARY,7000000,Horror,Twentieth Century Fox Film Corporation,NO,YES
Beyond the Lights,116,2014,SEPTEMBER,7000000,Romance,Relativity Media,YES,NO
Annabelle,99,2014,OCTOBER,6500000,Horror,New Line Cinema,NO,NO
Wish I Was Here,120,2014,JANUARY,5500000,Drama,Double Feature Films,NO,NO
Song One,86,2014,JANUARY,6000000,Drama,Worldview Entertainment,NO,NO
Miss Julie,120,2014,SEPTEMBER,5500000,Drama,Maipo Film- og TV Produksjon,NO,NO
Ouija,89,2014,OCTOBER,5000000,Horror,Universal Pictures,NO,YES
Paranormal Activity: The Marked Ones,84,2014,JANUARY,5000000,Horror,Blumhouse Productions,NO,NO
"As Above, So Below",93,2014,OCTOBER,5000000,Horror,Universal Pictures,NO,NO
Still Alice,99,2014,DECEMBER,5000000,Drama,Killer Films,YES,NO
Kill the Messenger,112,2014,OCTOBER,5000000,Thriller,The Combine,NO,NO
