TITLE,REVENUE
The Hobbit: The Battle of the Five Armies,956019788
Transformers: Age of Extinction,1091405097
The Amazing Spider-Man 2,705717432
X-Men: Days of Future Past,747862775
Edge of Tomorrow,370541256
Maleficent,758539785
Dawn of the Planet of the Apes,710644566
Captain America: The Winter Soldier,714766572
Big Hero 6,652105443
Guardians of the Galaxy,773328629
Interstellar,675120017
Mr. Peabody & Sherman,272912430
Exodus: Gods and Kings,268031828
How to Train Your Dragon 2,609123048
Penguins of Madagascar,373552094
Noah,362637473
Night at the Museum: Secret of the Tomb,349424282
The Hunger Games: Mockingjay - Part 1,752100229
Rio 2,500188435
RoboCop,242688965
Teenage Mutant Ninja Turtles,477200000
300: Rise of an Empire,337580051
Hercules,243400000
The Expendables 3,206172544
Seventh Son,114178613
Transcendence,103039258
Divergent,288747895
Fury,211817906
Pompeii,117831631
The Monuments Men,154984035
Dracula Untold,215529201
The Legend of Hercules,61279452
Need for Speed,203277636
Unbroken,163442937
Annie,133821816
"I, Frankenstein",71154592
Sin City: A Dame to Kill For,39407616
Gone Girl,369330363
Jack Ryan: Shadow Recruit,50549107
The Boxtrolls,108255770
The Lego Movie,469160692
Winter's Tale,30800231
American Sniper,542307423
The Equalizer,192330738
Paddington,259207227
Muppets Most Wanted,80383290
22 Jump Street,188441614
Into the Woods,212902372
Non-Stop,222809600
The Book of Life,97437106
Into the Storm,160602194
The Judge,83719388
Taken 3,325771424
Blended,123494610
The Interview,12342632
Lucy,126546825
Dumb and Dumber To,169837010
The Other Woman,196781193
Horrible Bosses 2,107670357
Jersey Boys,67347013
Sex Tape,126069509
Dolphin Tale 2,52424533
Sabotage,17508518
The Maze Runner,348319861
The Grand Budapest Hotel,174600318
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",100654149
3 Days to Kill,52597999
Brick Mansions,68896829
A Walk Among the Tombstones,53181600
The Best of Me,35926213
Ride Along,153997819
Million Dollar Arm,38307627
The Giver,66980456
The Gambler,39171130
Draft Day,28831145
Think Like a Man Too,70181428
The Water Diviner,15520023
